arquivo	origem	n	resolucao	dur
radar-11.mp4	radar	11	720x1280	5.100000
remotion-01.mp4	remotion	01	768x1152	5.100000
remotion-02.mp4	remotion	02	768x1152	5.100000
remotion-03.mp4	remotion	03	768x1152	5.100000
remotion-04.mp4	remotion	04	768x1152	5.100000
remotion-05.mp4	remotion	05	768x1152	5.100000
remotion-06.mp4	remotion	06	768x1152	5.100000
remotion-07.mp4	remotion	07	768x1152	5.100000
remotion-08.mp4	remotion	08	768x1152	5.100000
remotion-09.mp4	remotion	09	768x1152	5.100000
remotion-10.mp4	remotion	10	768x1152	5.100000
remotion-11.mp4	remotion	11	768x1152	5.100000
remotion-12.mp4	remotion	12	768x1152	5.100000
remotion-13.mp4	remotion	13	768x1152	5.100000
remotion-14.mp4	remotion	14	768x1152	5.100000
remotion-15.mp4	remotion	15	768x1152	5.100000
reuniao-que-se-repete-01.mp4	reuniao-que-se-repete	01	716x1284	5.041667
reuniao-que-se-repete-02.mp4	reuniao-que-se-repete	02	716x1284	5.041667
reuniao-que-se-repete-03.mp4	reuniao-que-se-repete	03	716x1284	5.041667
reuniao-que-se-repete-04.mp4	reuniao-que-se-repete	04	716x1284	5.041667
reuniao-que-se-repete-05.mp4	reuniao-que-se-repete	05	716x1284	5.041667
reuniao-que-se-repete-06.mp4	reuniao-que-se-repete	06	716x1284	5.041667
reuniao-que-se-repete-07.mp4	reuniao-que-se-repete	07	716x1284	5.041667
reuniao-que-se-repete-08.mp4	reuniao-que-se-repete	08	716x1284	5.041667
revisor-01.mp4	revisor	01	720x1280	5.100000
revisor-02.mp4	revisor	02	720x1280	5.100000
revisor-03.mp4	revisor	03	720x1280	5.100000
revisor-04.mp4	revisor	04	720x1280	5.100000
revisor-05.mp4	revisor	05	720x1280	5.100000
revisor-06.mp4	revisor	06	720x1280	5.100000
revisor-07.mp4	revisor	07	720x1280	5.100000
revisor-08.mp4	revisor	08	720x1280	5.100000
revisor-09.mp4	revisor	09	720x1280	5.100000
revisor-10.mp4	revisor	10	720x1280	5.100000
revisor-11.mp4	revisor	11	720x1280	5.100000
segundo-cerebro-01.mp4	segundo-cerebro	01	1080x1920	5.041667
segundo-cerebro-02.mp4	segundo-cerebro	02	1080x1920	5.041667
segundo-cerebro-03.mp4	segundo-cerebro	03	1080x1920	5.041667
segundo-cerebro-04.mp4	segundo-cerebro	04	1080x1920	5.041667
segundo-cerebro-05.mp4	segundo-cerebro	05	1080x1920	5.041667
segundo-cerebro-06.mp4	segundo-cerebro	06	1080x1920	5.041667
segundo-cerebro-07.mp4	segundo-cerebro	07	1080x1920	5.041667
segundo-cerebro-08.mp4	segundo-cerebro	08	1080x1920	5.041667
segundo-cerebro-09.mp4	segundo-cerebro	09	1080x1920	5.041667
segundo-cerebro-10.mp4	segundo-cerebro	10	1080x1920	5.041667
segundo-cerebro-11.mp4	segundo-cerebro	11	1080x1920	5.041667
segundo-cerebro-12.mp4	segundo-cerebro	12	1080x1920	5.041667
segundo-cerebro-13.mp4	segundo-cerebro	13	1080x1920	5.041667
tag-01.mp4	tag	01	768x1152	5.100000
tag-02.mp4	tag	02	768x1152	5.100000
tag-03.mp4	tag	03	768x1152	5.100000
tag-04.mp4	tag	04	768x1152	5.100000
tag-05.mp4	tag	05	768x1152	5.100000
tag-06.mp4	tag	06	768x1152	5.100000
tag-07.mp4	tag	07	768x1152	5.100000
tag-08.mp4	tag	08	768x1152	5.100000
tag-09.mp4	tag	09	768x1152	5.100000
tag-10.mp4	tag	10	768x1152	5.100000
tag-11.mp4	tag	11	768x1152	5.100000
tag-12.mp4	tag	12	768x1152	5.100000
